triplet_id,drugA,drugB,meddra,type,N,model_success,n_coadmin,n_events,n_stages_significant,max_ior,mean_ior,model_aic,stage,log_ior,log_ior_lower90,ior_values,classic_success,log_ior_classic,log_ior_classic_lower90,ior_classic
751,21601390,21603082,35809327,negative,16,TRUE,133,13250,0,1.0003198197459,1.00015753138758,104608.737201992,"1,2,3,4,5,6,7","2.66495490297558e-06,5.38796345073145e-05,0.000104883649619136,0.000155082845426424,0.000205839843418154,0.000260474944719036,0.000319768614464255","-0.0142478314514062,-0.0127042585404579,-0.01587424738849,-0.0213732542272666,-0.02774559392015,-0.0346328684433771,-0.0420067323715971","1.00000266495845,1.00005388108604,1.0001048891501,1.00015509487139,1.00020586102989,1.00026050887126,1.0003198197459",TRUE,|-Inf|3.15325506750696|0.346749782692611|-0.0315091181598625|-0.691994465372751|0.812751868879197,|-Inf|0.596049753748602|-1.03856413531511|-0.876044116479081|-1.71153227395178|-0.144077792353221,|0|23.4121488089707|1.41446275802518|0.968982121079575|0.500576689909349|2.25410245398009
752,21604562,21604745,36315381,negative,13,TRUE,98,3836,0,1.00000280869185,0.999958328944485,38576.4791055482,"1,2,3,4,5,6,7","2.80868790358824e-06,-1.17540532169613e-05,-2.63966949365368e-05,-4.12154405546872e-05,-5.62918537330148e-05,-7.16565998857277e-05,-8.72006584362595e-05","-0.00419114537027191,-0.00410154670649944,-0.00604765599410972,-0.00870463039093586,-0.0115947679122565,-0.0146201561959759,-0.0177576651316656","1.00000280869185,0.999988246015862,0.999973603653453,0.99995878540879,0.999943709730624,0.999928345967387,0.999912803143431",TRUE,|||-Inf|-0.484542041784133|-0.164900716248251|-0.289442486697068,|||-Inf|-2.73942043076068|-0.967093861985137|-1.1733881506152,|||0|0.615979224927658|0.847977890335036|0.748680850781249
753,21601431,21603618,35104341,negative,12,TRUE,20,175,3,119.305038901931,25.9013490220706,2642.28476716113,"1,2,3,4,5,6,7","-0.644317777535262,0.11272273861233,0.889815884088985,1.71608220713491,2.62657956481111,3.65160044358224,4.78168356544519","-3.73531768081559,-2.44452073941445,-1.3318077484881,-0.226565399398696,1.04835655854771,2.53334192051553,3.68927949582925","0.52502060080318,1.11932154527642,2.43468134644698,5.56269224133355,13.8263966361336,38.5362918825698,119.305038901931",TRUE,||||||Inf,||||||,||||||Inf
754,21601423,21603081,35104883,negative,18,TRUE,87,2387,2,24.6414183733393,4.99620505599618,26524.2024408679,"1,2,3,4,5,6,7","-1.46724881583791,-1.08518879352264,-0.656734114368839,-0.118066536513217,0.660332504171595,1.85957469951475,3.20442870086164","-4.6921383749482,-3.37198458430489,-2.29493199553552,-1.36097790648912,-0.327385696990951,1.04954734911363,1.7650249266613","0.230558923493206,0.337837998247783,0.518542071212058,0.8886369238451,1.93543576789062,6.42100533394516,24.6414183733393",TRUE,|||0.305885879496653|-Inf|2.75333395388649|2.94148994278001,|||-1.8032526109743|-Inf|1.43329516244001|1.18977321102988,|||1.35782734176603|0|15.6948707301178|18.9440508472497
755,21601911,21603967,35809054,negative,10,TRUE,50,10425,0,1.00611822394201,1.00382612406264,86605.2323400293,"1,2,3,4,5,6,7","0.00141575553547657,0.00227850484605208,0.00310484362860919,0.00386865038228112,0.00460647909402256,0.0053495322519197,0.00609958360179075","-0.1255937966767,-0.192306808073641,-0.260413077772498,-0.324802657340323,-0.38770670216684,-0.451475639513894,-0.516240479095983","1.00141675819046,1.00228110261085,1.00310966864794,1.00387614326951,1.00461710522894,1.00536386654877,1.00611822394201",TRUE,|0.579388384519323|3.80495207148294|0.249222582936984|-1.05510794062921|0.0392971151721105|1.99950280083047,|-1.36583279359647|2.09695028682378|-1.67257766247075|-2.82856234550381|-1.76997749107796|-0.445865504930702,|1.78494639598347|44.9230969639959|1.28302758133683|0.348154845224863|1.04007946113504|7.38538317953657
756,21601390,21603749,42889647,negative,11,TRUE,431,4212,0,1.00005300737588,1.00004419604357,42598.732480011,"1,2,3,4,5,6,7","3.06464536166118e-05,3.68312785754554e-05,4.2261929490639e-05,4.63383855819899e-05,4.91505917805668e-05,5.11306603767636e-05,5.30059710364128e-05","-0.00819816608552693,-0.00793079903540456,-0.00953931172934703,-0.0120777077554427,-0.0150180628582182,-0.0182214350479773,-0.0216966836843478","1.00003064692322,1.00003683195686,1.00004226282254,1.00004633945922,1.00004915179969,1.00005113196757,1.00005300737588",TRUE,|Inf|1.84582375021018|-0.115264056113581|-0.418221573541216|-Inf|,||0.238081174421487|-1.29635821639351|-1.81278618950373|-Inf|,|Inf|6.33331471153573|0.891130804299892|0.658216368934371|0|
757,21604516,21604571,35809327,negative,19,TRUE,207,13250,0,1.00174270746417,1.00085279116353,104743.095753541,"1,2,3,4,5,6,7","-3.77387779524341e-05,0.000257969998171514,0.000554473193427274,0.00085216830812529,0.00115042990308556,0.00144726732411815,0.0017411907114373","-0.0159898390271036,-0.017212508554466,-0.0276733788312259,-0.0405181995782573,-0.0540081879036364,-0.0677604032833975,-0.0816954493327531","0.999962261934146,1.00025800327529,1.0005546269421,1.0008525315067,1.0011510919014,1.00144831512089,1.00174270746417",TRUE,||||0.763591389924135|0.201422493794726|0.100729782499449,||||-1.16006161584015|-0.476278548813184|-0.622833914337901,||||2.14596941052375|1.22314143233795|1.10597774683951
758,21603756,21603896,35707763,negative,12,TRUE,458,729,4,5.14239612293847,3.42022730502379,9986.20453938426,"1,2,3,4,5,6,7","1.63751914262068,1.52602023466951,1.37898222637281,1.20422886276121,1.02138662834093,0.82711469166006,0.604622833731177","-0.697514417600915,-0.226210533606937,0.125745677020794,0.35510177264923,0.388534789599594,0.0547254789748699,-0.694087522457484","5.14239612293847,4.59983408639467,3.97085813547642,3.33418697073679,2.77704282171534,2.28671134534647,1.83056165255834",TRUE,-Inf|Inf|Inf|Inf|0.391858127969936|1.12706197065987|-Inf,-Inf||||-1.5904387967957|-0.782290852309177|-Inf,0|Inf|Inf|Inf|1.47972776452795|3.08657471830395|0
759,21602485,21603980,35809243,negative,245,TRUE,485,5249,0,1.25583855297039,1.12570289210071,44351.9399947032,"1,2,3,4,5,6,7","-4.78579100589016e-05,0.0389712278205243,0.07794623428458,0.116731794109036,0.154997605598821,0.1921491969942,0.227803519155279","-0.154602741932257,-0.0956930461430256,-0.0665465848667589,-0.0552611507426002,-0.0511892898702292,-0.0510082838392985,-0.0561142535725251","0.999952143235113,1.03974056761757,1.08106453289948,1.12381797466516,1.16765516526687,1.2118513080504,1.25583855297039",TRUE,|||||0.339817682539299|0.18535785988351,|||||0.012800553110546|-0.17199825268328,|||||1.40469146743503|1.20364910079201
760,21601423,21603732,37019425,negative,12,TRUE,1103,572,4,2.63088376973691,1.68679198852124,8084.89572346577,"1,2,3,4,5,6,7","-0.00137512810976936,0.151141203172475,0.303868285358624,0.458551897381243,0.622283302354905,0.795172831911609,0.967319823863352","-0.581794684463034,-0.309324642715267,-0.11120463282648,0.0233254889108475,0.110222404353991,0.152392556041523,0.152229588099145","0.998625816945649,1.16316088849417,1.35509055906758,1.5817817434096,1.86317738604454,2.21482375595024,2.63088376973691",TRUE,||Inf|-Inf||Inf|Inf,|||-Inf|||,||Inf|0||Inf|Inf
